,Unnamed: 0,ID,NAME,PARENT_ID,LOGIN,COL_754,COL_755,COL_756,COL_757,COL_758,COL_759,COL_760,COL_761,COL_762,COL_763,COL_764,COL_765,COL_766,COL_767,COL_769,COL_770,COL_771,COL_772,COL_775,COL_781,COL_782,COL_2156,COL_2463,COL_3163,COL_3243,COL_3363,COL_3468,COL_103506
703,703,1506059.0,КРАСКОВСКАЯ 53,,WS,,,1953,,2048798,1,2,1,70,70,0,,,,2048931,22728486,0,0,,22289205,50062,,22741963,58761330,,0,,
704,704,1506062.0,РУДНЕВКА 35,,404080001,,,2005,,2048825,14,5,267,15040,14859,181,,,,2048929,22728486,5,5,,22289201,240042,,42875644,58761330,45063584,0,,
705,705,1506088.0,КОНСТАНТИНА ФЕДИНА 9,,404140001,,,1961,,2048912,5,4,80,3553,3548,5,,,,179625090,22728486,0,0,22289163,22289201,27140,,42875644,58761330,45063584,0,,
707,707,1506102.0,ИВАНТЕЕВСКАЯ 32,,404010001,,,1960,,2048912,5,3,60,2518,2344,174,0,0,,179625102,22728486,0,0,22289162,22289204,20190,,42875644,58761330,45063584,0,,
708,708,1506107.0,КОРОЛЕНКО 6А,,WS,,,1931,,2048798,5,5,50,3985,3535,450,,,,179625102,22728486,4,0,22289162,22289204,11083,,42875644,58761330,45063584,0,,
709,709,1506108.0,СТАЛЕВАРОВ 20,,WS,,,1977,,2048789,16,1,111,5342,5323,19,,,,179625090,22728486,1,1,,22289201,24609,,42875644,58761330,45063584,0,,
710,710,1506111.0,СОКОЛЬНИЧЕСКИЙ ВАЛ 40,,adm_2019_08_08,,,1977,,2048756,16,2,123,8422,7926,496,,,,2048929,22728486,2,2,,22289201,24240,,42875644,58761330,45063584,0,,
715,715,1506165.0,УРАЛЬСКАЯ 6,,404050001,,,1964,,2048755,5,6,120,5136,5136,0,,,,2048929,22728486,0,0,22289163,22289201,26815,,42875644,58761330,45063584,0,,
717,717,1506172.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 2,,404130001,,,1964,,2048912,9,1,64,2628,2280,348,,,,179625090,22728486,1,0,,22289201,28533,,42875644,58761330,45063584,0,,
718,718,1506183.0,НАРИМАНОВСКАЯ 25,,404010001,,,1965,,2048912,9,1,72,2625,2595,30,0,0,,179625090,22728486,1,0,,22289201,15756,,42875644,58761330,45063584,0,,
720,720,1506186.0,АМУРСКАЯ 23,,404050001,,,1967,,2048755,5,4,80,3558,3558,0,,,,261908925,22728486,0,0,22289163,22289201,535,,42875644,58761330,45063584,0,,
721,721,1506188.0,"Дом по адресу Парковая 15-я ул., д.20",,404030001,,,1974,,2048759,14,1,91,4666,3922,744,,,,179625090,22728486,2,0,,22289201,8647,,42875644,58761330,45063584,0,,
723,723,1506207.0,САЛТЫКОВСКАЯ 15,,WS,,,1987,,2048757,17,2,136,8770,8752,18,,,,2048929,22728486,2,2,,22289201,5759,,42875644,58761330,45063584,0,,
725,725,1506231.0,ВЕРХНЯЯ ПЕРВОМАЙСКАЯ 24/17,,404070001,,,1951,,2048912,5,4,62,4276,3430,846,,,,179625102,22728486,0,0,22289162,22289204,19238,,42875644,58761330,45063584,0,,
726,726,1506238.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 26,,404130001,,,1964,,2048755,5,9,180,8001,8001,0,,,,2048929,22728486,0,0,22289163,22289201,28601,,42875644,58761330,45063584,0,,
727,727,1506239.0,ПЛЕХАНОВА 25,,404120001,,,1998,,2048777,17,2,134,7489,7439,50,,,,2048929,22728486,1,1,,22289201,82045,,42875644,58761330,45063585,0,,
728,728,1506241.0,АНОСОВА 5,,404120001,,,1962,,2048798,5,4,76,4147,3248,899,,,,179625102,22728486,0,0,22289163,22289205,765,,42875644,58761330,45063584,0,,
729,729,1506249.0,"Дом по адресу Парковая 6-я ул., д.7",,404070001,,,1970,,2048759,14,1,98,4261,4261,0,,,,179625090,22728486,2,0,,22289201,18640,,42875644,58761330,45063584,0,,
730,730,1506253.0,КРАСНОСОЛНЕЧНАЯ 29,,WS,,,1948,,2048798,1,1,1,90,90,0,,,,2048931,22728486,0,0,,22289204,50378,,22741963,58761330,,0,,
731,731,1506272.0,НИКОЛАЯ СТАРОСТИНА 15,,404110001,,,1997,,2048842,6,6,90,6402,6294,108,,,,2048929,22728486,6,0,,22289201,80046,,42875644,58761330,45063584,0,,
732,732,1506280.0,ПЕРОВСКАЯ 36,,404120001,,,2004,,2048825,17,3,201,11630,11564,66,,,,2048929,22728486,3,3,,22289204,250012,,42875644,58761330,45063584,0,,
733,733,1506281.0,МАЛЕНКОВСКАЯ 28,,WS,,,1967,,2048781,9,6,215,10665,10665,0,,,,2048929,22728486,6,0,,22289201,13739,,42875644,58761330,45063584,0,,
734,734,1506286.0,МОЛДАГУЛОВОЙ 6,,WS,,,1971,,2048759,14,1,98,4265,4265,0,,,,179625090,22728486,2,0,,22289201,14942,,42875644,58761330,45063584,0,,
735,735,1506293.0,"Дом по адресу Парковая 16-я ул., д.25, к.2",,404030001,,,1965,,2048755,5,4,79,3497,3471,26,,,,2048929,22728486,0,0,22289162,22289201,19002,,42875644,58761330,45063584,0,,
736,736,1506297.0,ПЕРВОМАЙСКАЯ 117,,404030001,,,1956,,2048912,5,4,61,5294,4409,885,,,,179625102,22728486,0,0,22289162,22289204,19222,,42875644,58761330,45063584,0,,
738,738,1506326.0,"Дом по адресу Интернационала 3-го ул., д.8",,WS,,,1960,,2048798,1,1,1,47,47,0,,,,2048931,22728486,0,0,,22289206,49520,,22741963,58761330,,0,,
739,739,1506327.0,ЗЛАТОУСТОВСКАЯ 56,,404080001,,,1918,,2048798,1,6,6,191,191,0,,,,2048931,22728486,0,0,,22289205,8458,,42875644,58761330,45063584,0,,
740,740,1506336.0,МУРОМСКАЯ 59,,404080001,,,1959,,2048912,1,2,2,91,91,0,,,,179625119,22728486,0,0,,22289205,15364,,42875644,58761330,45063584,0,,
743,743,1506356.0,ПЛЕХАНОВА 22,,404120001,,,1966,,2048912,5,4,80,3510,3510,0,,,,2048929,22728486,0,0,22289163,22289201,19979,,42875644,58761330,45063584,0,,
745,745,1506360.0,КАМЧАТСКАЯ 4,,WS,,,1971,,2048763,9,5,180,7816,7816,0,,,,179625102,22728486,5,0,,22289201,9177,,42875644,58761330,45063584,0,,
747,747,1506369.0,ЗЛАТОУСТОВСКАЯ 36,,WS,,,1911,,2048798,1,3,2,84,84,0,,,,2048931,22728486,0,0,,22289205,49569,,22741963,58761330,,0,,
749,749,1506388.0,КРАСКОВСКАЯ 98,,WS,,,1916,,2048798,1,1,1,58,58,0,,,,2048945,22728486,0,0,,22289206,50005,,22741963,58761330,,0,,
750,750,1506391.0,РЕУТОВСКАЯ 6,,WS,,,1972,,2048781,9,4,144,7216,7216,0,,,,2048929,22728486,4,0,,22289201,21758,,42875644,58761330,45063584,0,,
752,752,1506409.0,ОРЕНБУРГСКАЯ 20,,WS,,,1976,,2048912,9,2,32,6521,5967,554,,,,179625102,22728486,2,0,,22289201,17683,,42875644,68481453,,0,,
753,753,1506411.0,БОЙЦОВАЯ 17,,404010001,,,1960,,2048798,5,3,48,3495,2608,887,,,,179625102,22728486,0,0,22289162,22289204,2357,,42875644,58761330,45063584,0,,
755,755,1506422.0,"Дом по адресу Парковая 5-я ул., д.11",,404070001,,,1957,,2048912,5,3,50,3938,3592,346,,,,179625102,22728486,0,0,22289162,22289204,18581,,42875644,58761330,45063584,0,,
756,756,1506425.0,КАМЧАТСКАЯ 11,,WS,,,1990,,2048779,14,2,110,5020,4981,39,,,,2048929,22728486,4,0,,22289201,9184,,42875644,58761330,45063585,0,,
757,757,1506464.0,СУЗДАЛЬСКАЯ 2/3,,WS,,,1998,,2048842,7,6,104,7425,6984,441,,,,2048929,22728486,6,0,,22289204,82056,,42875644,58761330,45063584,0,,
758,758,1506472.0,БОЛЬШАЯ КОСИНСКАЯ 162,,WS,,,1959,,2048798,1,4,3,205,205,0,,,,2048931,22728486,0,0,,22289204,49632,,22741963,58761330,,0,,
759,759,1506475.0,РОЗЫ ЛЮКСЕМБУРГ 20,,WS,,,1917,,2048798,1,3,4,172,172,0,,,,2048931,22728486,0,0,,22289205,49675,,22741963,58761330,,0,,
760,760,1506477.0,ИВАНТЕЕВСКАЯ 20,,404010001,,,1962,,2048755,5,5,100,4407,4400,7,0,0,,2048929,22728486,0,0,22289162,22289201,20180,,42875644,58761330,45063584,0,,
761,761,1506482.0,БОЙЦОВАЯ 4/37,,404010001,,,1958,,2048912,5,3,60,2542,2512,30,,,,179625102,22728486,0,0,22289163,22289205,2330,,42875644,58761330,45063584,0,,
762,762,1506486.0,ПЕРВОМАЙСКАЯ 115,,404030001,,,1956,,2048912,5,3,50,4135,3469,666,,,,179625102,22728486,0,0,22289163,22289204,19220,,42875644,58761330,45063584,0,,
766,766,1506516.0,УССУРИЙСКАЯ 11,,WS,,,1972,,2048759,14,1,94,5189,4052,1137,0,0,,179625090,22728486,2,0,,22289201,26900,,42875644,58761330,45063584,0,,
768,768,1506524.0,"Дом по адресу Парковая 13-я ул., д.28, к.3",,WS,,,2003,,2048825,17,2,134,7589,7520,69,,,,2048929,22728486,2,2,,22289201,64140,,42875644,58761330,45063585,0,,
769,769,1506529.0,СУЗДАЛЬСКАЯ 18,,WS,,,1990,,2048756,17,2,135,8610,8556,54,,,,2048929,22728486,2,2,,22289201,31240,,42875644,58761330,45063584,0,,
770,770,1506533.0,"Дом по адресу Парковая 16-я ул., д.35",,404140001,,,1967,,2048787,9,5,179,9286,9286,0,,,,2048929,22728486,5,0,,22289201,19006,,42875644,58761330,45063584,0,,
771,771,1506544.0,МИЛЛИОННАЯ 15,,404010001,,,1931,,2048798,4,5,40,3573,2898,675,0,0,,179625102,22728486,0,0,22289162,22289204,14387,,42875644,58761330,45063584,0,,
772,772,1506549.0,"Дом по адресу Прядильная 1-я ул., д.7А",,404070001,,,1960,,2048912,5,2,30,1653,1604,49,,,,179625102,22728486,0,0,22289163,22289205,21138,,42875644,58761330,45063584,0,,
773,773,1506556.0,"Дом по адресу Парковая 16-я ул., д.16",,WS,,,1966,,73851632,5,2,238,10348,3607,6741,0,0,,179625102,22728486,4,3,,22289201,18992,,42875644,68481453,,0,,
774,774,1506565.0,НИКИТИНСКАЯ 16,,404140001,,,1960,,2048912,5,4,80,3561,3555,6,,,,179625090,22728486,0,0,22289163,22289201,16176,,42875644,58761330,45063584,0,,
775,775,1506570.0,ЛУХМАНОВСКАЯ 28,,404080001,,,2007,,2048863,24,1,184,9133,8543,590,,,,2048929,22728486,2,2,,22289201,240132,,42875644,58761330,45063584,0,,
777,777,1506585.0,БАЙКАЛЬСКАЯ 17,,404050001,,,1967,,2048755,5,6,119,5139,5139,0,,,,2048929,22728486,0,0,22289163,22289201,1215,,42875644,58761330,45063584,0,,
778,778,1506588.0,"Дом по адресу Владимирская 3-я ул., д.26, к.1",,404120001,,,1967,,2048755,5,4,80,3529,3529,0,,,,179625095,22728486,0,0,22289163,22289201,4125,,42875644,58761330,45063584,0,,
779,779,1506589.0,МОЛДАГУЛОВОЙ 22,,WS,,,1972,,2048755,9,2,178,5692,5688,4,,,,2048929,22728486,2,0,,22289201,14961,,42875644,58761330,45063584,0,,
780,780,1506597.0,СРЕДНЯЯ ПЕРВОМАЙСКАЯ 9/26,,adm20180821,Нет техпаспорта МосгорБТИ,,1950,,2048798,3,3,24,2171,1538,633,,,,179625102,22728486,0,0,,22289204,18794,,42875644,41321872,,0,,
781,781,1506602.0,САЯНСКАЯ 16,,WS,,,1992,,2048789,16,1,111,5268,5261,7,,,,179625090,22728486,1,1,,22289201,31921,,42875644,58761330,45063584,0,,
782,782,1506621.0,"Дом по адресу Парковая 15-я ул., д.46, к.7",,404140001,,,1964,,2048755,5,4,80,3568,3568,0,,,,2048929,22728486,0,0,22289163,22289201,18956,,42875644,58761330,45063584,0,,
783,783,1506622.0,ЭЛЕКТРОЗАВОДСКАЯ 12А,,404130001,,,1861,,2048798,5,2,88,5533,5419,114,,,,179625102,22728486,0,0,22289162,22289204,30075,,42875644,58761330,45063584,0,,
784,784,1506627.0,УРАЛЬСКАЯ 6,,WS,,,1969,,2048798,14,1,112,5464,5442,22,,,,179625102,22728486,1,1,,22289201,26819,,42875644,58761330,45063585,0,,
785,785,1506633.0,"Дом по адресу Парковая 15-я ул., д.46, к.1",,404140001,,,1962,,2048755,5,4,80,3550,3544,6,,,,2048929,22728486,0,0,22289163,22289201,18950,,42875644,58761330,45063584,0,,
786,786,1506648.0,МОЛДАГУЛОВОЙ 16,,WS,,,1997,,2048777,14,2,111,6167,6116,51,,,,2048929,22728486,2,2,,22289201,82032,,42875644,58761330,45063584,0,,
787,787,1506657.0,МИХЕЛЬСОНА 35,,404080001,,,1917,,2048798,1,2,2,75,75,0,,,,2048931,22728486,0,0,,22289204,14774,,42875644,58761330,45063584,0,,
788,788,1506662.0,МАСТЕРОВАЯ 4,,404120001,,,1967,,2048755,5,15,297,12783,12783,0,,,,2048929,22728486,0,0,22289163,22289201,13964,,42875644,58761330,45063584,0,,
790,790,1506679.0,МАРТЕНОВСКАЯ 32/15,,WS,,,1959,,2048912,5,3,52,4728,3686,1042,0,0,,179625102,22728486,0,0,22289162,22289204,13855,,42875644,58761330,45063584,0,,
791,791,1506689.0,МЕТАЛЛУРГОВ 48,,404120001,,,1967,,56183254,12,1,84,3635,3635,0,,,,179625090,22728486,2,0,,22289201,14264,,42875644,58761330,45063584,0,,
792,792,1506695.0,РОЗЫ ЛЮКСЕМБУРГ 16,,WS,,,1928,,2048798,1,5,5,164,164,0,,,,2048931,22728486,0,0,,22289204,49668,,22741963,58761330,,0,,
793,793,1506698.0,ТКАЦКАЯ 33,,404150001,,,1951,,2048798,4,3,36,2148,1736,412,,,,179625102,22728486,0,0,22289163,22289204,26046,,42875644,58761330,45063584,0,,
796,796,1506721.0,САХАЛИНСКАЯ 6,,operator2,,,1969,,2048781,9,6,215,10628,10609,19,0,0,,2048929,22728486,6,0,,22289201,22751,,42875644,58761330,45063584,0,,
797,797,1506734.0,ЛОСИНООСТРОВСКАЯ 27,,WS,,,1971,,2048798,5,3,98,4961,1570,3391,,,,179625102,22728486,2,0,,22289201,13429,,42875644,68481453,,0,,
798,798,1506746.0,БАЙКАЛЬСКАЯ 38,,WS,,,1966,,2048912,9,5,175,8853,8680,173,,,,2048929,22728486,5,0,,22289201,1246,,42875644,58761330,45063584,0,,
800,800,1506765.0,ЗЛАТОУСТОВСКАЯ 21,,WS,,,1918,,2048798,1,3,1,128,128,0,,,,2048931,22728486,0,0,,22289204,8450,,22741963,58761330,,0,,
801,801,1506766.0,ИГРАЛЬНАЯ 1,,operator2,,,1964,,2048751,5,5,100,4308,4271,37,,,,179625090,22728486,0,0,22289162,22289201,8568,,42875644,58761330,45063584,0,,
802,802,1506770.0,АЛЕКСЕЯ ДИКОГО 5,,WS,,,1968,,2048758,12,1,84,3632,3632,0,,,,179625090,22728486,2,0,,22289201,6544,,42875644,58761330,45063584,0,,
804,804,1506791.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 6,,404130001,,,1966,,56183254,12,1,80,4527,3462,1065,0,0,,179625090,22728486,2,0,,22289201,28559,,42875644,58761330,45063584,0,,
805,805,1506793.0,НИКОЛАЯ ХИМУШИНА 17,,WS,,,1961,,2048912,5,3,61,2750,2524,226,,,,179625102,22728486,0,0,22289162,22289205,27932,,42875644,58761330,45063584,0,,
806,806,1506796.0,ЗЛАТОУСТОВСКАЯ 29,,404080001,,,1917,,2048798,1,4,3,157,157,0,,,,2048931,22728486,0,0,,22289205,8451,,42875644,58761330,45063584,0,,
807,807,1506797.0,"Дом по адресу Прядильная 3-я ул., д.8",,404070001,,,1961,,2048912,5,3,45,2468,2461,7,,,,179625102,22728486,0,0,22289163,22289205,21161,,42875644,58761330,45063584,0,,
808,808,1506800.0,БОЛЬШАЯ ОСТРОУМОВСКАЯ 10,,WS,,,1997,,2048798,15,2,138,14851,12966,1885,0,0,,179625111,22728486,2,2,,22289204,64021,,42875644,58761330,45063585,0,,
809,809,1506804.0,ОРЕНБУРГСКАЯ 13,,404080001,,,1971,,2048912,5,8,127,6121,6009,112,,,,179625102,22728486,0,0,22289163,22289201,17674,,42875644,58761330,45063584,0,,
810,810,1506814.0,НИКИТИНСКАЯ 26,,404140001,,,1960,,2048912,5,4,80,3565,3515,50,,,,179625090,22728486,0,0,22289163,22289201,16193,,42875644,58761330,45063584,0,,
811,811,1506815.0,САЛТЫКОВСКАЯ 37,,404110001,,,1988,,2048779,14,2,110,4976,4938,38,,,,2048929,22728486,4,0,,22289201,22586,,42875644,58761330,45063585,0,,
812,812,1506820.0,КАСКАДНАЯ 35А,,WS,,,2005,,2048798,1,1,1,84,84,0,,,,179625119,22728486,0,0,,22289205,240084,,22741963,58761330,,0,,
813,813,1506821.0,ЗЛАТОУСТОВСКАЯ 58-58А,,WS,,,1952,,2048798,1,1,1,45,45,0,,,,2048931,22728486,0,0,,22289204,50245,,22741963,58761330,,0,,
814,814,1506823.0,"Дом по адресу Парковая 5-я ул., д.5, к.3",,404070001,,,1964,,2048752,5,2,40,1544,1544,0,,,,179625102,22728486,0,0,22289163,22289201,18577,,42875644,58761330,45063584,0,,
815,815,1506842.0,"Дом по адресу Рыбинская 2-я ул., д.12",,WS,,,1958,,2048798,5,4,69,4957,4813,144,,,,179625102,22728486,0,0,22289162,22289204,22288,,42875644,58761330,45063584,0,,
816,816,1506847.0,НИКОЛАЯ СТАРОСТИНА 11,,404110001,,,2000,,2048798,9,2,72,3672,3207,465,,,,179625111,22728486,0,2,,22289201,64089,,42875644,58761330,45063584,0,,
818,818,1506862.0,МОЛОСТОВЫХ 1,,WS,,,1972,,2048781,9,2,72,3839,3839,0,,,,2048929,22728486,2,0,,22289201,15085,,42875644,58761330,45063584,0,,
819,819,1506864.0,ЧЕБОКСАРСКАЯ 4А,,WS,,,1995,,2048798,1,1,1,50,50,0,,,,2048931,22728486,0,0,,22289205,64119,,22741963,58761330,,0,,
820,820,1506868.0,КОРОЛЕНКО 9,,WS,,,1966,,2048758,12,1,84,3627,3609,18,,,,179625090,22728486,2,0,,22289201,11088,,42875644,58761330,45063584,0,,
821,821,1506875.0,УССУРИЙСКАЯ 1,,WS,,,1976,,56183262,16,1,105,8426,4945,3481,0,0,,179625090,22728486,1,1,,22289201,26884,,42875644,58761330,45063584,0,,
822,822,1506880.0,НИКИТИНСКАЯ 31,,404140001,,,1980,,2048781,9,6,215,10403,10225,178,,,,2048929,22728486,6,0,,22289201,16199,,42875644,58761330,45063584,0,,
823,823,1506889.0,АЛТАЙСКАЯ 29,,WS,,,1973,,56183243,9,6,214,10314,10255,59,0,0,,2048929,22728486,6,0,,22289201,385,,42875644,58761330,45063584,0,,
824,824,1506892.0,"Дом по адресу Парковая 3-я ул., д.44, к.1",,404140001,,,1960,,2048912,5,4,80,3541,3487,54,,,,179625090,22728486,0,0,22289162,22289201,18540,,42875644,58761330,45063584,0,,
825,825,1506895.0,ПЕРОВСКАЯ 57,,WS,,,1957,,2048912,5,4,56,5423,4048,1375,,,,179625102,22728486,0,0,22289162,22289204,19493,,42875644,58761330,45063584,0,,
826,826,1506899.0,КРАСКОВСКАЯ 104,,WS,,,2008,,2048798,1,1,1,35,35,0,,,,179625102,22728486,0,0,,22289204,240177,,22741963,58761330,,0,,
827,827,1506901.0,"Дом по адресу Парковая 5-я ул., д.56, к.2",,404140001,,,1960,,2048912,5,4,80,3556,3503,53,,,,179625090,22728486,0,0,22289163,22289201,18624,,42875644,58761330,45063584,0,,
828,828,1506904.0,МИХЕЛЬСОНА 77,,adm20180821,Нет техпаспорта МосгорБТИ,,1917,,2048798,1,3,2,76,76,0,,,,2048931,22728486,0,0,,22289205,14790,,22741963,41321872,,0,,
829,829,1506908.0,СУЗДАЛЬСКАЯ 12,,WS,,,1995,,2048777,14,2,112,6167,6149,18,,,,2048929,22728486,2,2,,22289201,61195,,42875644,58761330,45063584,0,,
831,831,1506916.0,ГОРЫ 16,,404150001,,,1955,,2048798,7,2,43,4392,3476,916,,,,179625102,22728486,2,0,22289162,22289204,24143,,42875644,58761330,45063584,0,,
832,832,1506922.0,МАЯ 6,,404040001,,,1947,,2048912,2,2,8,517,420,97,,,,179625102,22728486,0,0,22289163,22289204,6324,,42875644,58761330,45063584,0,,
833,833,1506929.0,МУРОМСКАЯ 29,,404080001,,,1958,,2048798,1,2,2,86,86,0,,,,179625119,22728486,0,0,,22289205,15348,,42875644,58761330,45063584,0,,
834,834,1506960.0,"Дом по адресу Владимирская 2-я ул., д.32, к.3",,404120001,,,1959,,2048912,5,4,59,3365,3074,291,,,,179625102,22728486,0,0,22289162,22289205,4070,,42875644,58761330,45063584,0,,
836,836,1506974.0,"Дом по адресу Владимирская 3-я ул., д.12, к.1",,404120001,,,1958,,2048912,5,4,56,3260,2568,692,,,,179625102,22728486,0,0,22289163,22289204,4112,,42875644,58761330,45063584,0,,
837,837,1506983.0,ПРОСТОРНАЯ 13,,404010001,,,1960,,2048912,5,4,80,3453,3437,16,,,,179625102,22728486,0,0,22289163,22289205,20910,,42875644,58761330,45063584,0,,
838,838,1506984.0,БОЛЬШАЯ ОСТРОУМОВСКАЯ 21,,WS,,,1979,,2048798,14,1,97,5383,5334,49,,,,179625102,22728486,1,1,,22289201,17991,,42875644,58761330,45063584,0,,
840,840,1506996.0,НОВОКОСИНСКАЯ 12,,WS,,,1997,,2048756,17,2,136,8603,8586,17,,,,2048929,22728486,2,2,,22289201,82022,,42875644,58761330,45063584,0,,
841,841,1507005.0,МАСТЕРОВАЯ 15,,404120001,,,1963,,2048912,5,3,57,2499,2367,132,,,,179625102,22728486,0,0,22289163,22289201,13975,,42875644,58761330,45063584,0,,
842,842,1507008.0,ЗАОЗЕРНАЯ 6,,adm20180821,Нет техпаспорта МосгорБТИ,,1917,,2048798,2,5,3,303,303,0,,,,2048931,22728486,0,0,,22289204,49706,,22741963,41321872,,0,,
843,843,1507012.0,НОВОГИРЕЕВСКАЯ 14,,404120001,,,1960,,2048912,5,5,100,4140,4054,86,,,,179625102,22728486,0,0,22289162,22289205,16457,,42875644,58761330,45063584,0,,
844,844,1507014.0,"Дом по адресу Парковая 13-я ул., д.25, к.1",,404140001,,,1961,,2048793,6,4,96,4955,4141,814,,,,179625102,22728486,4,0,22289163,22289201,18849,,42875644,58761330,45063585,0,,
850,850,1507053.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 32,,404130001,,,1966,,2048912,12,1,84,3634,3634,0,,,,179625090,22728486,2,0,,22289201,28613,,42875644,58761330,45063584,0,,
851,851,1507064.0,КОСИНСКАЯ 28,,WS,,,1971,,2048781,9,4,144,7252,7252,0,,,,2048929,22728486,4,0,,22289201,11128,,42875644,58761330,45063584,0,,
852,852,1507069.0,ВОЛЬНАЯ 5,,404150001,,,1961,,2048798,5,4,80,3590,3542,48,,,,179625090,22728486,0,0,22289163,22289201,4753,,42875644,58761330,45063584,0,,
853,853,1507084.0,ПЕРОВСКАЯ 8,,404120001,,,1972,,2048758,12,1,80,4468,3448,1020,,,,179625090,22728486,2,0,,22289201,19430,,42875644,58761330,45063584,0,,
854,854,1507093.0,АМУРСКАЯ 22,,404050001,,,1965,,2048755,5,5,100,4462,4462,0,,,,2048929,22728486,0,0,22289162,22289201,533,,42875644,58761330,45063584,0,,
855,855,1507121.0,ВЕШНЯКОВСКАЯ 15,,WS,,,1971,,2048781,9,8,287,14129,14129,0,,,,2048929,22728486,8,0,,22289201,3797,,42875644,58761330,45063584,0,,
856,856,1507127.0,ЗВЕРИНЕЦКАЯ 32,,404150001,,,1959,,2048912,5,3,44,2524,2396,128,,,,179625102,22728486,0,0,22289162,22289204,8221,,42875644,58761330,45063584,0,,
857,857,1507134.0,СУВОРОВСКАЯ 2/1,,WS,,,1928,,2048798,5,5,49,4401,3426,975,,,,179625102,22728488,0,0,,22289204,6307,,30034032,58761330,,0,,
858,858,1507149.0,САЛТЫКОВСКАЯ 39,,WS,,,1987,,2048757,17,2,136,8714,8696,18,,,,2048929,22728486,2,2,,22289201,22587,,42875644,58761330,45063584,0,,
859,859,1507157.0,КУСКОВСКАЯ 17,,WS,,,2002,,2048779,14,5,192,12156,12016,140,,,,2048929,22728486,7,3,,22289201,65095,,42875644,58761330,45063584,0,,
861,861,1507180.0,НИЖНЯЯ ПЕРВОМАЙСКАЯ 16,,404070001,,,1977,,2048799,14,1,109,5437,5306,131,,,,179625102,22728486,2,0,,22289201,19272,,42875644,58761330,45063584,0,,
862,862,1507183.0,УРАЛЬСКАЯ 4,,WS,,,1968,,2048781,9,10,355,19031,17311,1720,,,,2048929,22728486,10,0,,22289201,26810,,42875644,58761330,45063584,0,,
864,864,1507198.0,НИКОЛАЯ ХИМУШИНА 9,,WS,,,1960,,2048912,5,3,60,2525,2519,6,,,,179625102,22728486,0,0,22289162,22289205,27920,,42875644,58761330,45063584,0,,
865,865,1507209.0,АМУРСКАЯ 10,,404050001,,,1965,,2048755,5,5,100,4478,4478,0,,,,2048929,22728486,0,0,22289163,22289201,525,,42875644,58761330,45063584,0,,
866,866,1507221.0,КРАСНОБОГАТЫРСКАЯ 79,,404010001,,,1988,,2048798,16,2,164,9606,8574,1032,,,,2048929,22728486,2,2,,22289201,11478,,42875644,58761330,45063109,0,,
867,867,1507225.0,КИРПИЧНАЯ 51,,404150001,,,1965,,2048752,5,5,88,4643,3605,1038,,,,179625102,22728486,0,0,22289162,22289201,10145,,42875644,58761330,45063584,0,,
869,869,1507235.0,ГЛАВНАЯ 16,,404040001,,,1958,,2048912,4,3,48,2485,2010,475,,,,179625102,22728486,0,0,22289162,22289204,5484,,42875644,58761330,45063584,0,,
871,871,1507264.0,КАМОВА 17А,,WS,,,1962,,2048798,1,2,1,58,58,0,,,,2048931,22728486,0,0,,22289205,9159,,22741963,58761330,,0,,
872,872,1507267.0,АМУРСКАЯ 31,,404050001,,,1965,,2048755,5,8,160,7822,7022,800,,,,2048929,22728486,0,0,22289163,22289201,544,,42875644,58761330,45063584,0,,
874,874,1507277.0,БУРАКОВА 9,,404150001,,,1967,,2048758,12,1,84,3620,3620,0,,,,179625090,22728486,2,0,,22289201,2998,,42875644,58761330,45063584,0,,
875,875,1507284.0,КРАСКОВСКАЯ 88,,WS,,,1971,,2048798,1,1,1,61,61,0,,,,2048931,22728486,0,0,,22289205,49971,,22741963,58761330,,0,,
876,876,1507289.0,ОХОТНИЧЬЯ 10/12,,WS,,,1957,,2048912,4,1,16,962,942,20,,,,179625102,22728486,0,0,22289163,22289204,18230,,42875644,58761330,45063584,0,,
877,877,1507295.0,ЧЕБОКСАРСКАЯ 8,,WS,,,1933,,2048798,1,4,4,285,285,0,,,,2048931,22728486,0,0,,22289205,49891,,22741963,58761330,,0,,
879,879,1507308.0,АМУРСКАЯ 66,,404050001,,,1964,,2048912,5,4,80,3394,3394,0,,,,179625102,22728486,0,0,22289163,22289201,560,,42875644,58761330,45063584,0,,
880,880,1507309.0,ПЕРВОМАЙСКАЯ 10,,404070001,,,1980,,2048776,16,1,126,5878,5845,33,,,,2048929,22728486,1,1,,22289201,19156,,42875644,58761330,45063584,0,,
881,881,1507313.0,"Дом по адресу Владимирская 3-я ул., д.9, к.3",,404120001,,,1958,,2048912,5,4,69,5425,5030,395,,,,179625102,22728486,0,0,22289162,22289204,4107,,42875644,58761330,45063584,0,,
882,882,1507322.0,МУРОМСКАЯ 32,,404080001,,,1958,,2048798,1,2,2,232,232,0,,,,179625102,22728486,0,0,,22289205,15350,,42875644,58761330,45063584,0,,
884,884,1507327.0,СТАРЫЙ ГАЙ 1,,WS,,,1971,,56183256,9,4,143,7342,7287,55,0,0,,2048929,22728486,4,0,,22289201,24752,,42875644,58761330,45063584,0,,
